iter	RMSE
0	170655.4918
1	159418.8853
2	149387.1927
3	140709.4998
4	132480.7225
5	125373.3758
6	118683.3304
7	112631.4291
8	107636.6251
9	103240.9228
10	98849.75002
11	95162.32197
12	91206.60024
13	87699.06652
14	84442.7653
15	81623.62146
16	79037.06056
17	76624.96717
18	74415.15179
19	72523.204
20	70847.08853
21	69191.40027
22	67340.41805
23	65724.18616
24	64366.12962
25	63138.67549
26	62010.14294
27	60915.68262
28	60016.89217
29	58994.51471
30	58221.92871
31	57500.08567
32	56664.14129
33	55918.46023
34	55339.43851
35	54759.50986
36	54258.64061
37	53813.44763
38	53352.64128
39	52779.36419
40	52308.58281
41	51949.32982
42	51587.61956
43	51229.15513
44	50909.88266
45	50558.69383
46	50257.229
47	49925.88914
48	49607.28847
49	49275.17468
50	49014.34018
51	48755.30403
52	48514.08642
53	48142.00905
54	47928.66604
55	47724.20487
56	47499.23713
57	47281.26427
58	47010.99099
59	46818.82771
60	46633.3585
61	46421.15616
62	46219.86376
63	46060.32163
64	45834.80113
65	45625.27741
66	45486.39693
67	45324.5706
68	45191.13137
69	45040.00419
70	44840.38927
71	44699.56449
72	44587.82816
73	44410.28108
74	44276.77586
75	44175.46725
76	44059.7666
77	43920.05272
78	43785.98575
79	43660.8454
80	43541.69383
81	43395.37435
82	43211.59568
83	43054.41373
84	42868.64033
85	42766.17639
86	42635.58544
87	42520.89796
88	42424.09053
89	42256.36473
90	42140.93006
91	42020.28638
92	41923.13706
93	41814.77938
94	41686.72175
95	41577.25985
96	41449.00497
97	41326.53674
98	41251.83696
99	41172.10914
100	41089.80941
101	40942.25412
102	40821.00818
103	40698.26667
104	40574.29046
105	40424.00839
106	40288.61154
107	40219.47614
108	40120.29566
109	40036.36322
110	39924.37407
111	39869.73818
112	39758.74456
113	39683.52317
114	39580.29361
115	39483.97207
116	39384.99234
117	39318.31764
118	39235.23398
119	39102.4552
120	39048.94264
121	38951.71035
122	38870.90013
123	38809.26121
124	38737.81757
125	38626.96763
126	38546.30734
127	38462.77245
128	38341.48403
129	38271.4818
130	38215.07777
131	38143.76228
132	38071.43865
133	37970.94419
134	37909.86552
135	37829.21514
136	37744.99169
137	37682.5509
138	37611.98634
139	37513.27822
140	37457.96164
141	37402.02686
142	37288.92626
143	37211.67464
144	37149.82894
145	37077.41316
146	37013.48842
147	36923.95583
148	36868.6689
149	36780.32719
150	36679.6252
151	36619.09073
152	36562.57843
153	36524.9777
154	36454.38105
155	36413.31009
156	36363.48183
157	36271.60449
158	36220.28961
159	36164.1118
160	36094.51371
161	36046.52625
162	35963.52736
163	35911.64285
164	35877.25647
165	35813.35581
166	35746.54267
167	35692.29195
168	35645.65006
169	35590.65663
170	35532.50691
171	35485.66435
172	35436.6341
173	35370.4016
174	35308.40957
175	35234.15861
176	35192.223
177	35159.28557
178	35124.53515
179	35057.52694
180	35003.22574
181	34960.06529
182	34926.96981
183	34884.3213
184	34855.50654
185	34804.92459
186	34770.01579
187	34744.61949
188	34674.90801
189	34626.62696
190	34573.77554
191	34508.72447
192	34459.74497
193	34403.05656
194	34357.42199
195	34321.81916
196	34288.85233
197	34253.46911
198	34216.38904
199	34185.34566
200	34162.65997
201	34116.39096
202	34074.68572
203	34032.19786
204	33994.10364
205	33953.04092
206	33925.39498
207	33885.7602
208	33851.65243
209	33822.32397
210	33787.078
211	33757.28115
212	33714.39887
213	33694.3513
214	33656.22557
215	33625.68688
216	33591.33445
217	33556.54871
218	33531.7533
219	33501.84276
220	33463.06408
221	33437.54475
222	33400.90921
223	33375.25994
224	33332.029
225	33289.59365
226	33260.83842
227	33226.2869
228	33192.04064
229	33164.28157
230	33139.35905
231	33108.41455
232	33077.99084
233	33050.73173
234	33027.15414
235	33000.39919
236	32972.10421
237	32945.8326
238	32913.42615
239	32881.91818
240	32844.08588
241	32820.78302
242	32801.97761
243	32778.33237
244	32757.27616
245	32735.284
246	32717.60699
247	32698.68118
248	32664.14445
249	32643.82255
250	32623.05587
251	32589.64896
252	32565.72203
253	32516.54255
254	32491.43635
255	32463.30673
256	32431.88707
257	32398.8018
258	32363.01567
259	32339.89133
260	32324.21742
261	32309.70107
262	32292.47673
263	32270.10698
264	32235.8347
265	32205.4555
266	32184.08332
267	32164.30542
268	32144.90375
269	32127.45674
270	32110.08996
271	32084.24455
272	32069.09345
273	32049.14498
274	32027.64464
275	32005.43392
276	31965.619
277	31939.10624
278	31918.67699
279	31906.89124
280	31881.809
281	31861.23435
282	31843.68277
283	31810.78585
284	31790.58754
285	31771.31308
286	31744.91542
287	31728.91581
288	31717.94771
289	31698.91428
290	31681.54137
291	31654.7243
292	31640.26985
293	31626.31952
294	31606.22608
295	31585.37851
296	31563.93457
297	31536.59826
298	31505.73881
299	31490.91868
300	31475.94867
301	31453.6975
302	31433.35951
303	31417.36296
304	31384.65422
305	31367.7089
306	31348.07099
307	31334.69961
308	31304.67469
309	31290.08813
310	31273.43351
311	31251.01651
312	31223.20185
313	31207.41992
314	31187.87328
315	31172.92061
316	31150.70795
317	31129.96398
318	31104.71951
319	31096.38008
320	31079.71204
321	31060.31049
322	31044.86225
323	31027.78739
324	31005.55134
325	30995.76933
326	30974.40903
327	30953.39996
328	30933.62232
329	30910.23257
330	30890.22035
331	30876.9193
332	30866.00146
333	30851.63259
334	30833.15612
335	30814.59217
336	30795.32056
337	30773.1487
338	30757.59109
339	30739.91307
340	30721.81947
341	30700.28033
342	30685.46595
343	30664.43921
344	30647.26417
345	30627.54571
346	30613.69493
347	30605.27078
348	30590.24849
349	30570.74568
350	30555.31522
351	30540.0886
352	30526.84409
353	30508.62934
354	30477.19497
355	30462.90564
356	30451.74409
357	30433.80929
358	30418.61283
359	30393.4175
360	30378.75898
361	30354.45645
362	30327.64583
363	30315.98109
364	30299.38734
365	30283.71875
366	30265.87522
367	30239.73851
368	30221.61587
369	30199.37012
370	30177.2584
371	30157.78795
372	30141.25875
373	30122.00685
374	30110.02706
375	30093.83089
376	30080.57636
377	30066.94261
378	30052.92941
379	30027.22588
380	30014.42649
381	30000.1902
382	29989.52391
383	29975.82583
384	29966.27609
385	29949.71942
386	29929.84115
387	29914.31048
388	29898.6255
389	29887.06952
390	29878.08849
391	29867.11918
392	29849.4005
393	29837.35193
394	29821.57503
395	29806.65135
396	29796.41612
397	29779.81463
398	29768.52066
399	29756.66075
400	29743.86097
401	29735.30234
402	29716.57229
403	29700.02706
404	29691.19911
405	29681.78491
406	29671.47593
407	29655.4131
408	29643.93163
409	29631.34912
410	29620.33
411	29607.55948
412	29595.77745
413	29588.60462
414	29578.24211
415	29565.38551
416	29555.29569
417	29542.77209
418	29529.76687
419	29516.30488
420	29507.25338
421	29492.84969
422	29480.92301
423	29467.55247
424	29455.19277
425	29443.56623
426	29431.81745
427	29420.26105
428	29406.01212
429	29397.9795
430	29391.41825
431	29384.15284
432	29373.78655
433	29362.88121
434	29356.76776
435	29349.63551
436	29336.4217
437	29327.73974
438	29307.6415
439	29282.84305
440	29274.24737
441	29261.27735
442	29247.14334
443	29234.81033
444	29223.50643
445	29216.17731
446	29203.43249
447	29194.10463
448	29181.39634
449	29167.8923
450	29159.618
451	29146.23036
452	29134.68115
453	29125.36197
454	29112.77956
455	29102.53513
456	29091.32393
457	29086.77018
458	29069.11347
459	29056.26877
460	29047.12659
461	29034.99365
462	29021.49503
463	29011.73516
464	28998.74509
465	28990.0022
466	28981.79796
467	28972.76832
468	28966.20876
469	28955.27927
470	28945.698
471	28935.82757
472	28916.61833
473	28906.84033
474	28895.21307
475	28884.53723
476	28876.58008
477	28867.94308
478	28854.98061
479	28844.4781
480	28829.60219
481	28822.24747
482	28813.44706
483	28803.2134
484	28793.3348
485	28777.84127
486	28769.31308
487	28760.12075
488	28744.08659
489	28736.75489
490	28726.85428
491	28718.62434
492	28711.61085
493	28704.08761
494	28697.44202
495	28689.40218
496	28679.2551
497	28667.85772
498	28660.5138
499	28647.36362
500	28637.7638
501	28625.41456
502	28616.18896
503	28605.46457
504	28593.37598
505	28585.88644
506	28572.453
507	28566.28998
508	28557.25589
509	28547.86535
510	28539.84533
511	28525.24384
512	28512.02345
513	28500.05435
514	28491.60164
515	28483.80938
516	28473.30979
517	28465.16427
518	28457.26717
519	28446.58236
520	28440.91943
521	28428.90458
522	28420.70141
523	28412.35778
524	28405.01422
525	28395.85204
526	28390.25272
527	28382.49285
528	28376.02951
529	28366.98022
530	28358.84416
531	28349.79296
532	28343.51207
533	28336.81082
534	28326.3502
535	28320.57528
536	28312.66203
537	28304.03159
538	28296.61821
539	28287.51093
540	28281.01142
541	28269.76491
542	28263.41957
543	28257.39336
544	28249.07897
545	28244.48165
546	28236.36851
547	28229.42222
548	28220.92668
549	28209.02169
550	28200.91746
551	28192.352
552	28185.1652
553	28172.77806
554	28165.45228
555	28154.96989
556	28148.95397
557	28139.11276
558	28129.41901
559	28119.20834
560	28114.0896
561	28106.40758
562	28101.16127
563	28094.4266
564	28082.33543
565	28074.76643
566	28065.37616
567	28060.05437
