iter	Passed	Remaining
0	74	74046
1	134	67117
2	221	73452
3	295	73563
4	372	74087
5	449	74481
6	515	73096
7	571	70873
8	629	69333
9	704	69794
10	776	69798
11	855	70460
12	932	70813
13	997	70275
14	1060	69664
15	1142	70251
16	1226	70927
17	1312	71624
18	1392	71877
19	1470	72066
20	1557	72621
21	1637	72778
22	1691	71834
23	1757	71463
24	1847	72051
25	1903	71296
26	1982	71445
27	2043	70930
28	2119	70977
29	2199	71129
30	2275	71118
31	2351	71119
32	2428	71172
33	2512	71380
34	2572	70930
35	2649	70945
36	2734	71168
37	2820	71415
38	2884	71085
39	2942	70620
40	3017	70590
41	3077	70185
42	3132	69712
43	3195	69434
44	3268	69372
45	3349	69461
46	3409	69142
47	3468	68798
48	3526	68448
49	3583	68080
50	3654	67998
51	3725	67923
52	3791	67742
53	3847	67396
54	3907	67138
55	3982	67134
56	4045	66934
57	4105	66681
58	4170	66510
59	4233	66331
60	4305	66278
61	4363	66022
62	4441	66060
63	4514	66030
64	4572	65772
65	4653	65857
66	4731	65885
67	4795	65727
68	4875	65786
69	4948	65746
70	5029	65805
71	5086	65555
72	5176	65738
73	5255	65760
74	5317	65580
75	5375	65349
76	5432	65120
77	5500	65021
78	5568	64922
79	5644	64913
80	5702	64697
81	5766	64553
82	5832	64440
83	5894	64274
84	5953	64092
85	6011	63890
86	6084	63850
87	6149	63731
88	6231	63784
89	6323	63934
90	6399	63928
91	6483	63991
92	6572	64096
93	6649	64090
94	6727	64087
95	6803	64066
96	6872	63978
97	6947	63945
98	7035	64026
99	7114	64030
100	7185	63961
101	7261	63931
102	7324	63790
103	7394	63710
104	7455	63545
105	7532	63531
106	7601	63440
107	7657	63248
108	7726	63157
109	7805	63153
110	7869	63022
111	7954	63070
112	8023	62979
113	8097	62934
114	8174	62906
115	8237	62773
116	8301	62648
117	8364	62521
118	8436	62460
119	8495	62300
120	8566	62234
121	8645	62221
122	8712	62121
123	8787	62079
124	8846	61922
125	8924	61905
126	9003	61891
127	9106	62037
128	9188	62039
129	9249	61900
130	9322	61844
131	9389	61744
132	9445	61570
133	9509	61458
134	9570	61322
135	9653	61326
136	9733	61311
137	9793	61176
138	9877	61182
139	9940	61060
140	10021	61053
141	10088	60954
142	10171	60955
143	10247	60916
144	10332	60925
145	10415	60923
146	10480	60816
147	10571	60856
148	10655	60858
149	10735	60833
150	10820	60837
151	10896	60791
152	10965	60705
153	11024	60564
154	11107	60552
155	11199	60593
156	11276	60547
157	11354	60508
158	11411	60360
159	11495	60349
160	11584	60370
161	11667	60354
162	11754	60358
163	11828	60297
164	11911	60279
165	11993	60255
166	12063	60170
167	12125	60052
168	12203	60008
169	12256	59841
170	12341	59832
171	12400	59694
172	12497	59743
173	12572	59682
174	12657	59673
175	12723	59569
176	12798	59508
177	12884	59501
178	12967	59475
179	13035	59382
180	13107	59308
181	13169	59190
182	13243	59123
183	13312	59037
184	13389	58984
185	13456	58891
186	13532	58833
187	13610	58783
188	13679	58699
189	13767	58692
190	13845	58644
191	13902	58508
192	13974	58431
193	14074	58474
194	14156	58440
195	14225	58353
196	14290	58251
197	14362	58175
198	14432	58092
199	14499	57998
200	14570	57921
201	14644	57851
202	14713	57765
203	14789	57707
204	14875	57689
205	14942	57593
206	15028	57573
207	15111	57540
208	15181	57458
209	15263	57418
210	15321	57290
211	15403	57254
212	15474	57175
213	15566	57175
214	15641	57107
215	15721	57062
216	15803	57025
217	15884	56981
218	15977	56977
219	16035	56854
220	16101	56755
221	16175	56686
222	16256	56643
223	16322	56546
224	16380	56421
225	16469	56403
226	16560	56394
227	16645	56361
228	16729	56324
229	16807	56268
230	16886	56216
231	16966	56163
232	17047	56116
233	17119	56039
234	17207	56015
235	17269	55907
236	17337	55816
237	17414	55757
238	17483	55669
239	17565	55624
240	17636	55545
241	17714	55485
242	17799	55449
243	17885	55414
244	17952	55323
245	18026	55251
246	18104	55192
247	18167	55089
248	18260	55073
249	18345	55037
250	18431	55000
251	18490	54884
252	18572	54836
253	18650	54777
254	18717	54683
255	18803	54647
256	18882	54589
257	18942	54477
258	19030	54447
259	19123	54427
260	19209	54391
261	19297	54356
262	19375	54296
263	19447	54217
264	19516	54130
265	19588	54052
266	19667	53992
267	19744	53928
268	19811	53838
269	19891	53780
270	19980	53747
271	20067	53708
272	20126	53597
273	20214	53561
274	20278	53461
275	20362	53414
276	20436	53341
277	20518	53287
278	20584	53193
279	20642	53080
280	20717	53010
281	20787	52927
282	20852	52832
283	20921	52744
284	20978	52629
285	21040	52527
286	21118	52466
287	21180	52363
288	21254	52289
289	21332	52228
290	21403	52148
291	21474	52068
292	21542	51980
293	21609	51893
294	21685	51824
295	21745	51719
296	21819	51647
297	21888	51562
298	21952	51467
299	22024	51390
300	22098	51318
301	22176	51256
302	22251	51185
303	22312	51083
304	22384	51006
305	22445	50904
306	22524	50844
307	22603	50783
308	22677	50711
309	22733	50599
310	22802	50517
311	22874	50441
312	22943	50357
313	23011	50273
314	23069	50166
315	23133	50073
316	23206	49999
317	23281	49930
318	23340	49827
319	23424	49777
320	23492	49692
321	23570	49629
322	23653	49577
323	23714	49478
324	23796	49422
325	23861	49332
326	23930	49251
327	24006	49183
328	24087	49127
329	24163	49059
330	24238	48988
331	24300	48893
332	24380	48833
333	24442	48738
334	24502	48639
335	24566	48549
336	24640	48476
337	24704	48385
338	24768	48294
339	24847	48233
340	24910	48141
341	24980	48062
342	25054	47989
343	25133	47929
344	25201	47846
345	25274	47773
346	25351	47708
347	25416	47618
348	25494	47555
349	25573	47493
350	25648	47423
351	25728	47363
352	25791	47271
353	25859	47190
354	25934	47119
355	26010	47052
356	26087	46986
357	26146	46888
358	26215	46808
359	26291	46739
360	26352	46645
361	26413	46551
362	26498	46499
363	26578	46439
364	26615	46304
365	26700	46252
366	26772	46177
367	26846	46105
368	26919	46032
369	26981	45941
370	27061	45880
371	27141	45819
372	27218	45753
373	27283	45666
374	27347	45579
375	27424	45512
376	27531	45497
377	27595	45409
378	27673	45343
379	27745	45268
380	27807	45178
381	27862	45075
382	27940	45010
383	28014	44939
384	28095	44880
385	28186	44834
386	28263	44768
387	28318	44667
388	28400	44608
389	28487	44556
390	28573	44503
391	28664	44459
392	28753	44410
393	28819	44326
394	28895	44257
395	28976	44196
396	29054	44130
397	29136	44070
398	29238	44040
399	29306	43959
400	29389	43900
401	29466	43833
402	29545	43767
403	29646	43736
404	29720	43664
405	29799	43598
406	29879	43534
407	29929	43427
408	30009	43363
409	30089	43299
410	30159	43221
411	30234	43150
412	30294	43057
413	30372	42990
414	30443	42913
415	30518	42843
416	30596	42776
417	30673	42708
418	30755	42646
419	30836	42583
420	30903	42501
421	30984	42438
422	31056	42363
423	31118	42274
424	31203	42216
425	31278	42145
426	31339	42055
427	31425	41999
428	31483	41904
429	31567	41845
430	31630	41758
431	31706	41687
432	31792	41630
433	31905	41608
434	31999	41562
435	32095	41517
436	32186	41466
437	32258	41390
438	32352	41342
439	32429	41273
440	32490	41184
441	32577	41126
442	32655	41058
443	32736	40994
444	32808	40918
445	32889	40853
446	32972	40791
447	33065	40741
448	33137	40665
449	33229	40614
450	33303	40539
451	33394	40487
452	33460	40403
453	33535	40331
454	33614	40263
455	33700	40204
456	33785	40143
457	33853	40062
458	33942	40006
459	34032	39951
460	34103	39873
461	34182	39805
462	34262	39738
463	34342	39670
464	34418	39599
465	34503	39537
466	34565	39450
467	34640	39377
468	34708	39296
469	34782	39222
470	34848	39139
471	34924	39068
472	35024	39023
473	35182	39041
474	35270	38982
475	35333	38896
476	35418	38834
477	35498	38766
478	35582	38702
479	35659	38631
480	35741	38565
481	35807	38482
482	35879	38404
483	35949	38325
484	36027	38255
485	36084	38163
486	36155	38085
487	36234	38016
488	36292	37924
489	36351	37835
490	36429	37765
491	36495	37682
492	36587	37626
493	36667	37558
494	36731	37473
495	36808	37401
496	36877	37322
497	36962	37258
498	37032	37181
499	37109	37109
500	37186	37037
501	37271	36974
502	37336	36890
503	37396	36803
504	37483	36740
505	37545	36654
506	37634	36595
507	37716	36528
508	37779	36443
509	37848	36364
510	37925	36292
511	37988	36207
512	38058	36129
513	38144	36066
514	38224	35997
515	38298	35923
516	38367	35844
517	38395	35727
518	38466	35650
519	38538	35574
520	38603	35491
521	38685	35424
522	38766	35357
523	38828	35271
524	38905	35200
525	38983	35129
526	39058	35056
527	39127	34977
528	39210	34911
529	39269	34824
530	39355	34759
531	39412	34670
532	39489	34599
533	39579	34539
534	39666	34476
535	39731	34394
536	39802	34317
537	39889	34254
538	39946	34166
539	40034	34103
540	40111	34031
541	40187	33959
542	40267	33889
543	40343	33817
544	40421	33746
545	40489	33666
546	40573	33601
547	40646	33525
548	40708	33441
549	40785	33369
550	40854	33291
551	40934	33222
552	41003	33143
553	41075	33068
554	41145	32990
555	41225	32920
556	41312	32857
557	41399	32793
558	41457	32706
559	41520	32623
560	41592	32547
561	41649	32460
562	41715	32379
563	41793	32308
564	41855	32224
565	41928	32149
566	42000	32074
567	42078	32003
568	42154	31931
569	42234	31861
570	42302	31782
571	42386	31716
572	42454	31636
573	42529	31563
574	42601	31487
575	42680	31417
576	42754	31343
577	42816	31260
578	42876	31176
579	42947	31099
580	43006	31014
581	43074	30936
582	43146	30861
583	43228	30792
584	43305	30721
585	43373	30642
586	43448	30569
587	43529	30500
588	43602	30425
589	43669	30346
590	43752	30278
591	43830	30207
592	43893	30125
593	43976	30057
594	44055	29987
595	44134	29916
596	44195	29834
597	44279	29766
598	44360	29697
599	44435	29623
600	44499	29543
601	44579	29472
602	44654	29399
603	44729	29326
604	44804	29252
605	44883	29181
606	44959	29108
607	45040	29039
608	45116	28966
609	45185	28889
610	45262	28817
611	45330	28738
612	45389	28655
613	45452	28574
614	45529	28502
615	45591	28420
616	45677	28354
617	45770	28291
618	45848	28220
619	45905	28135
620	45989	28067
621	46071	27998
622	46149	27926
623	46231	27857
624	46298	27779
625	46353	27693
626	46427	27619
627	46503	27546
628	46571	27468
