iter	Passed	Remaining
0	61	61334
1	121	60754
2	177	59053
3	227	56684
4	283	56332
5	339	56242
6	393	55763
7	449	55728
8	518	57076
9	573	56802
10	631	56796
11	685	56463
12	747	56747
13	806	56781
14	864	56762
15	925	56909
16	982	56797
17	1043	56918
18	1101	56871
19	1159	56799
20	1222	56996
21	1284	57117
22	1346	57206
23	1412	57454
24	1469	57312
25	1529	57314
26	1586	57177
27	1652	57381
28	1715	57452
29	1782	57639
30	1848	57765
31	1909	57774
32	1971	57782
33	2035	57845
34	2094	57743
35	2154	57703
36	2212	57592
37	2276	57619
38	2337	57592
39	2400	57616
40	2468	57727
41	2523	57549
42	2585	57540
43	2645	57475
44	2707	57455
45	2765	57352
46	2837	57543
47	2905	57629
48	2975	57751
49	3043	57821
50	3116	57994
51	3175	57887
52	3240	57909
53	3303	57872
54	3367	57859
55	3430	57820
56	3486	57682
57	3548	57634
58	3613	57635
59	3674	57574
60	3736	57519
61	3798	57469
62	3853	57311
63	3909	57182
64	3974	57172
65	4034	57101
66	4096	57046
67	4157	56984
68	4221	56961
69	4281	56877
70	4349	56914
71	4412	56872
72	4474	56817
73	4539	56807
74	4599	56728
75	4663	56702
76	4724	56632
77	4782	56532
78	4846	56501
79	4906	56421
80	4965	56339
81	5047	56510
82	5113	56496
83	5171	56391
84	5238	56385
85	5298	56316
86	5368	56339
87	5429	56267
88	5495	56249
89	5558	56198
90	5623	56169
91	5693	56196
92	5760	56177
93	5828	56174
94	5898	56187
95	5966	56187
96	6032	56157
97	6099	56142
98	6163	56095
99	6229	56062
100	6289	55984
101	6358	55979
102	6420	55913
103	6484	55868
104	6553	55859
105	6605	55712
106	6659	55577
107	6713	55449
108	6820	55753
109	6877	55646
110	6961	55752
111	7021	55671
112	7079	55574
113	7141	55499
114	7200	55412
115	7262	55346
116	7318	55232
117	7383	55185
118	7446	55127
119	7507	55053
120	7570	54997
121	7637	54963
122	7693	54853
123	7755	54790
124	7810	54672
125	7871	54600
126	7927	54496
127	7988	54423
128	8042	54305
129	8102	54224
130	8165	54163
131	8226	54094
132	8282	53993
133	8353	53989
134	8413	53906
135	8473	53833
136	8532	53746
137	8592	53674
138	8656	53622
139	8713	53526
140	8768	53421
141	8827	53337
142	8888	53269
143	8944	53168
144	9005	53100
145	9063	53012
146	9122	52936
147	9185	52875
148	9242	52784
149	9297	52686
150	9353	52592
151	9408	52487
152	9490	52536
153	9554	52487
154	9610	52394
155	9663	52282
156	9714	52159
157	9771	52075
158	9831	51999
159	9890	51923
160	9944	51820
161	9998	51718
162	10062	51669
163	10120	51589
164	10180	51518
165	10232	51410
166	10286	51308
167	10343	51224
168	10405	51164
169	10461	51077
170	10523	51019
171	10578	50923
172	10638	50855
173	10701	50801
174	10756	50711
175	10819	50654
176	10875	50566
177	10931	50480
178	10990	50409
179	11062	50395
180	11126	50346
181	11186	50276
182	11247	50216
183	11306	50139
184	11353	50017
185	11417	49968
186	11477	49899
187	11537	49833
188	11600	49776
189	11659	49707
190	11714	49619
191	11775	49553
192	11831	49470
193	11890	49401
194	11951	49339
195	12010	49266
196	12080	49239
197	12141	49177
198	12204	49123
199	12266	49065
200	12328	49006
201	12382	48915
202	12444	48858
203	12495	48758
204	12583	48798
205	12642	48729
206	12700	48654
207	12753	48562
208	12827	48547
209	12884	48472
210	12945	48406
211	13008	48350
212	13069	48288
213	13133	48238
214	13193	48172
